Name of Institution,Street Address,City,ZIP Code,County,Georeference
Wells Fargo ATM,234 West 33rd Street,New YOrk,10119,New York,
Bank of America N.A. GA1-006-15-40,Pinwlawn Road,Melville,11747,Suffolk,
Bank of America N.A. GA1-006-15-40,130 North Country Shopping Center,Goldens Bridge,10526,Westchester,
"Berkshire Bank (Pittsfield, MA)",1925 Curry Road,Rotterdam,12303,Schenectady,
"Capital One, N.A.",Chelsea Piers,New York,10011,New York,
Catskill Hudson Bank,1987 State Route 52,Liberty,12754,Sullivan,
Citibank N. A.,717 Avenue of Americas,New York,10010,New York,
Citibank N. A.,1445 East 82nd Street,New York,10028,New York,
"Community Bank, N.A.","311 North Comrie Ave, Route 30A",Johnstown,12095,Fulton,
"Community Bank, N.A.",3140 West State Road,Allegany,14760,Cattaraugus,
Delta Employees Credit Union,JFK Terminal 3,Jamaica,11430,Queens,
"Elmira Savings Bank, FSB",Route 17 & Chambers Road,Big Flats,14814,Chemung,
Empower Federal Credit Union,State Street,Phoenix,13135,Oswego,
Evans National Bank,6840 Erie Road,Derby,14047,Erie,POINT (-78.980166 42.701287)
Five Star Bank,1940 Routes 5 & 20,Waterloo,13165,Seneca,
Fulton Savings Bank,Route 57,Phoenix,13135,Oswego,
Greater Hudson Bank,485 Schutt Road,Middletown,10940,Orange,
Hudson United Bank,Reade Place,Poughkeepsie,12601,Dutchess,
"JPMorgan Chase Bank, National Association",333 Route 303 & Orangeburg Road,Orangeburg,10962,Rockland,
Suffolk Federal Credit Union,"850 North Country Road Drive, Route 39",Southampton,11968,Suffolk,
"Key Bank, National Association",One Hudson City Center,Hudson,12534,Columbia,
"Key Bank, National Association",221 Congress Street (Suite 101),Saratoga Springs,12866,Saratoga,
Lyons National Bank,35 Williams Street,Lyons,14489,Wayne,
Lyons National Bank,4 Williams Street,Clyde,14433,Wayne,
Manufacturers and Traders Trust Company,2300 Downer Street,Baldwinsville,13027,Onondaga,
Manufacturers and Traders Trust Company,908 Fairport Road,Perinton,14450,Monroe,
"NBT Bank, National Association",5 New Karner Road -- Route 155,Guilderland,12084,Albany,
"NBT Bank, National Association",2647 Main Street,Maine,13802,Broome,
Nassau Financial Federal Credit Union,One Education Drive,Garden City,11530,Nassau,
Northwest Savings Bank,4434 Transit Road,Clarence,14221,Erie,
Quontic Bank,31 - 05 Broadway,Astoria,11106,Queens,
Santander Bank,162-38 Cross Bay Boulevard,Howard Beach,11414,Queens,
Santander Bank,7500 Fifth Avenue - Bay Ridge Parkway # 25,Brooklyn,11209,Kings,
"Savings Bank of the Finger Lakes, FSB",51 St Clair Street,Geneva,14456,Ontario,
State Employees Federal Credit Union,5 Empire State Plaza,Albany,12222,Albany,
TD Bank N.A.,Routes 300 & 94,New Windsor,12553,Orange,
TD Bank N.A.,108-36/50 Queens Boulevard,Forest Hills,11375,Queens,
TD Bank N.A.,229 East Sanford Boulevard,Mount Vernon,10550,Westchester,
TD Bank N.A.,1633 Broadway,New York,10019,New York,POINT (-73.983786 40.761828)
TD Bank N.A.,63-54 108th Stret,Forest Hills,11375,Queens,
Teachers Federal Credit Union,155 Roe Boulevard,Patchogue,11772,Suffolk,
Trustco Bank N.A. CTF,Route 50,Saratoga Springs,12866,Saratoga,
Valley National Bank,740 Vets Highway,Hauppauge,11788,Suffolk,
Wayne Bank,1972 Route 52 East,Liberty,12754,Sullivan,
Wells Fargo ATM,35 Hudson Yards,New York,10001,New York,
Glens Falls National Bank & Trust Company,110 George Street,Fort Ann,12827,Washington,POINT (-73.487075 43.416909)
"Berkshire Bank (Pittsfield, MA)",Highways 20 & 22,New Lebanon,12125,Columbia,
"Capital One, N.A.",516 5th Avenue,Brooklyn,11215,Kings,POINT (-73.988228 40.666863)
