addition to geoid,geoid,,hpi 2010,hpi 2019,% change
14000US0,6037101110,14000US06037101110,505.95,934.82,0.85
,6037101122,14000US06037101122,529.61,930.17,0.76
,6037101210,14000US06037101210,212.75,358.07,0.68
,6037101220,14000US06037101220,289.52,591.62,1.04
,6037101300,14000US06037101300,481.9,832.05,0.73
,6037101400,14000US06037101400,577.99,1006.76,0.74
,6037102103,14000US06037102103,315.62,600.6,0.9
,6037102104,14000US06037102104,282.18,478.9,0.7
,6037102105,14000US06037102105,315.25,597.3,0.89
,6037102107,14000US06037102107,313.96,497.2,0.58
,6037103101,14000US06037103101,463.82,785.74,0.69
,6037103102,14000US06037103102,605.52,1083.22,0.79
,6037103200,14000US06037103200,512.63,889.32,0.73
,6037103300,14000US06037103300,408.64,652.4,0.6
,6037103400,14000US06037103400,563.17,976,0.73
,6037104103,14000US06037104103,254.86,510.31,1
,6037104108,14000US06037104108,200.38,413.36,1.06
,6037104124,14000US06037104124,301.63,564.03,0.87
,6037104201,14000US06037104201,222.42,467.65,1.1
,6037104203,14000US06037104203,178.03,376.79,1.12
,6037104204,14000US06037104204,242.2,428.23,0.77
,6037104310,14000US06037104310,182.73,389.17,1.13
,6037104320,14000US06037104320,176.76,373.07,1.11
,6037104401,14000US06037104401,186.24,371.11,0.99
,6037104403,14000US06037104403,162.77,300.47,0.85
,6037104404,14000US06037104404,170.28,328.18,0.93
,6037104500,14000US06037104500,176.26,319.53,0.81
,6037104610,14000US06037104610,201.74,394.58,0.96
,6037104620,14000US06037104620,194.4,365.58,0.88
,6037104701,14000US06037104701,112.21,209.26,0.86
,6037104704,14000US06037104704,154.56,321.28,1.08
,6037104810,14000US06037104810,424.6,805.89,0.9
,6037104821,14000US06037104821,160,340.96,1.13
,6037104822,14000US06037104822,159.31,316.37,0.99
,6037106010,14000US06037106010,437,797.72,0.83
,6037106020,14000US06037106020,565.25,1011.04,0.79
,6037106111,14000US06037106111,591.76,1015.31,0.72
,6037106112,14000US06037106112,404.85,738.49,0.82
,6037106113,14000US06037106113,295.11,505.06,0.71
,6037106114,14000US06037106114,277.51,540.06,0.95
,6037106403,14000US06037106403,277.33,512.7,0.85
